Time,Channel A
(s),(V)

0.00000000,-0.81820124
0.00005000,-0.83642077
0.00010000,-0.83642077
0.00015000,-0.83642077
0.00020000,-0.81820124
0.00025000,-0.81820124
0.00030000,-0.82732630
0.00035000,-0.81820124
0.00040000,-0.81820124
0.00045000,-0.81820124
0.00050000,-0.81820124
0.00055000,-0.81820124
0.00060000,-0.81820124
0.00065000,-0.81820124
0.00070000,-0.81820124
0.00075000,-0.82732630
0.00080000,-0.82732630
0.00085000,-0.81820124
0.00090000,-0.81820124
0.00095000,-0.81820124
0.00100000,-0.81820124
0.00105000,-0.81820124
0.00110000,-0.81820124
0.00115000,-0.81820124
0.00120000,-0.81820124
0.00125000,-0.81820124
0.00130000,-0.81820124
0.00135000,-0.81820124
0.00140000,-0.81820124
0.00145000,-0.81820124
0.00150000,-0.81820124
0.00155000,-0.81820124
0.00160000,-0.81820124
0.00165000,-0.81820124
0.00170000,-0.81820124
0.00175000,-0.81820124
0.00180000,-0.81820124
0.00185000,-0.81820124
0.00190000,-0.81820124
0.00195000,-0.81820124
0.00200000,-0.81820124
0.00205000,-0.81820124
0.00210000,-0.81820124
0.00215000,-0.81820124
0.00220000,-0.81820124
0.00225000,-0.81820124
0.00230000,-0.81820124
0.00235000,-0.81820124
0.00240000,-0.81820124
0.00245000,-0.81820124
0.00250000,-0.81820124
0.00255000,-0.81820124
0.00260000,-0.81820124
0.00265000,-0.81820124
0.00270000,-0.81820124
0.00275000,-0.81820124
0.00280000,-0.81820124
0.00285000,-0.81820124
0.00290000,-0.81820124
0.00295000,-0.81820124
0.00300000,-0.81820124
0.00305000,-0.81820124
0.00310000,-0.81820124
0.00315000,-0.81820124
0.00320000,-0.81820124
0.00325000,-0.81820124
0.00330000,-0.81820124
0.00335000,-0.81820124
0.00340000,-0.81820124
0.00345000,-0.80910671
0.00350000,-0.80910671
0.00355000,-0.81820124
0.00360000,-0.81820124
0.00365000,-0.81820124
0.00370000,-0.81820124
0.00375000,-0.81820124
0.00380000,-0.81820124
0.00385000,-0.81820124
0.00390000,-0.81820124
0.00395000,-0.81820124
0.00400000,-0.81820124
0.00405000,-0.81820124
0.00410000,-0.81820124
0.00415000,-0.81820124
0.00420000,-0.81820124
0.00425000,-0.81820124
0.00430000,-0.81820124
0.00435000,-0.81820124
0.00440000,-0.81820124
0.00445000,-0.81820124
0.00450000,-0.81820124
0.00455000,-0.81820124
0.00460000,-0.81820124
0.00465000,-0.81820124
0.00470000,-0.81820124
0.00475000,-0.81820124
0.00480000,-0.81820124
0.00485000,-0.81820124
0.00490000,-0.81820124
0.00495000,-0.81820124
0.00500000,-0.81820124
0.00505000,-0.81820124
0.00510000,-0.81820124
0.00515000,-0.81820124
0.00520000,-0.81820124
0.00525000,-0.81820124
0.00530000,-0.81820124
0.00535000,-0.81820124
0.00540000,-0.81820124
0.00545000,-0.81820124
0.00550000,-0.81820124
0.00555000,-0.81820124
0.00560000,-0.81820124
0.00565000,-0.81820124
0.00570000,-0.81820124
0.00575000,-0.81820124
0.00580000,-0.81820124
0.00585000,-0.81820124
0.00590000,-0.81820124
0.00595000,-0.81820124
0.00600000,-0.81820124
0.00605000,-0.81820124
0.00610000,-0.81820124
0.00615000,-0.81820124
0.00620000,-0.81820124
0.00625000,-0.81820124
0.00630000,-0.81820124
0.00635000,-0.82732630
0.00640000,-0.81820124
0.00645000,-0.81820124
0.00650000,-0.81820124
0.00655000,-0.81820124
0.00660000,-0.81820124
0.00665000,-0.81820124
0.00670000,-0.81820124
0.00675000,-0.81820124
0.00680000,-0.81820124
0.00685000,-0.81820124
0.00690000,-0.81820124
0.00695000,-0.81820124
0.00700000,-0.81820124
0.00705000,-0.81820124
0.00710000,-0.81820124
0.00715000,-0.81820124
0.00720000,-0.82732630
0.00725000,-0.82732630
0.00730000,-0.81820124
0.00735000,-0.81820124
0.00740000,-0.83642077
0.00745000,-0.81820124
0.00750000,-0.81820124
0.00755000,-0.83642077
0.00760000,-0.81820124
0.00765000,-0.81820124
0.00770000,-0.82732630
0.00775000,-0.81820124
0.00780000,-0.82732630
0.00785000,-0.81820124
0.00790000,-0.82732630
0.00795000,-0.82732630
0.00800000,-0.81820124
0.00805000,-0.82732630
0.00810000,-0.81820124
