Time,Channel A
(s),(V)

0.00000000,-1.06057930
0.00005000,-1.06057930
0.00010000,-1.06057930
0.00015000,-1.06057930
0.00020000,-1.06057930
0.00025000,-1.06057930
0.00030000,-1.06057930
0.00035000,-1.06057930
0.00040000,-1.06057930
0.00045000,-1.06057930
0.00050000,-1.06057930
0.00055000,-1.06057930
0.00060000,-1.06057930
0.00065000,-1.06057930
0.00070000,-1.06057930
0.00075000,-1.06057930
0.00080000,-1.06057930
0.00085000,-1.06057930
0.00090000,-1.06057930
0.00095000,-1.06057930
0.00100000,-1.06057930
0.00105000,-1.06057930
0.00110000,-1.06057930
0.00115000,-1.06057930
0.00120000,-1.06057930
0.00125000,-1.06057930
0.00130000,-1.06057930
0.00135000,-1.06057930
0.00140000,-1.06057930
0.00145000,-1.06057930
0.00150000,-1.04226816
0.00155000,-1.06057930
0.00160000,-1.06057930
0.00165000,-1.06057930
0.00170000,-1.06057930
0.00175000,-1.06057930
0.00180000,-1.04226816
0.00185000,-1.06057930
0.00190000,-1.04226816
0.00195000,-1.06057930
0.00200000,-1.06057930
0.00205000,-1.06057930
0.00210000,-1.06057930
0.00215000,-1.04226816
0.00220000,-1.06057930
0.00225000,-1.06057930
0.00230000,-1.04226816
0.00235000,-1.06057930
0.00240000,-1.06057930
0.00245000,-1.06057930
0.00250000,-1.04226816
0.00255000,-1.06057930
0.00260000,-1.06057930
0.00265000,-1.06057930
0.00270000,-1.04226816
0.00275000,-1.06057930
0.00280000,-1.04226816
0.00285000,-1.06057930
0.00290000,-1.04226816
0.00295000,-1.06057930
0.00300000,-1.06057930
0.00305000,-1.06057930
0.00310000,-1.06057930
0.00315000,-1.04226816
0.00320000,-1.04226816
0.00325000,-1.04226816
0.00330000,-1.06057930
0.00335000,-1.04226816
0.00340000,-1.04226816
0.00345000,-1.04226816
0.00350000,-1.04226816
0.00355000,-1.04226816
0.00360000,-1.04226816
0.00365000,-1.04226816
0.00370000,-1.06057930
0.00375000,-1.06057930
0.00380000,-1.04226816
0.00385000,-1.04226816
0.00390000,-1.04226816
0.00395000,-1.04226816
0.00400000,-1.06057930
0.00405000,-1.06057930
0.00410000,-1.06057930
0.00415000,-1.06057930
0.00420000,-1.04226816
0.00425000,-1.06057930
0.00430000,-1.06057930
0.00435000,-1.06057930
0.00440000,-1.06057930
0.00445000,-1.06057930
0.00450000,-1.06057930
0.00455000,-1.06057930
0.00460000,-1.06057930
0.00465000,-1.06057930
0.00470000,-1.06057930
0.00475000,-1.06057930
0.00480000,-1.06057930
0.00485000,-1.06057930
0.00490000,-1.06057930
0.00495000,-1.06057930
0.00500000,-1.06057930
0.00505000,-1.06057930
0.00510000,-1.06057930
0.00515000,-1.06057930
0.00520000,-1.06057930
0.00525000,-1.06057930
0.00530000,-1.06057930
0.00535000,-1.06057930
0.00540000,-1.06057930
0.00545000,-1.06057930
0.00550000,-1.06057930
0.00555000,-1.06057930
0.00560000,-1.06057930
0.00565000,-1.06057930
0.00570000,-1.06057930
0.00575000,-1.06057930
0.00580000,-1.06057930
0.00585000,-1.06057930
0.00590000,-1.06057930
0.00595000,-1.06057930
0.00600000,-1.06057930
0.00605000,-1.06057930
0.00610000,-1.06057930
0.00615000,-1.06057930
0.00620000,-1.06057930
0.00625000,-1.06057930
0.00630000,-1.06057930
0.00635000,-1.06057930
0.00640000,-1.06057930
0.00645000,-1.06057930
0.00650000,-1.06057930
0.00655000,-1.06057930
0.00660000,-1.06057930
0.00665000,-1.06057930
0.00670000,-1.06057930
0.00675000,-1.06057930
0.00680000,-1.06057930
0.00685000,-1.06057930
0.00690000,-1.06057930
0.00695000,-1.06057930
0.00700000,-1.06057930
0.00705000,-1.06057930
0.00710000,-1.06057930
0.00715000,-1.06057930
0.00720000,-1.06057930
0.00725000,-1.06057930
0.00730000,-1.06057930
0.00735000,-1.06057930
0.00740000,-1.06057930
0.00745000,-1.06057930
0.00750000,-1.06057930
0.00755000,-1.06057930
0.00760000,-1.06057930
0.00765000,-1.06057930
0.00770000,-1.06057930
0.00775000,-1.06057930
0.00780000,-1.06057930
0.00785000,-1.06057930
0.00790000,-1.06057930
0.00795000,-1.06057930
0.00800000,-1.06057930
0.00805000,-1.06057930
0.00810000,-1.06057930
